productId	gender	description	imageURL1	imageURL2	imageURL3	imageURL4	name	productType	pattern	productIdentifier
1026288	Women	Lightweight dress by ASOS CURVE;Embroidery and bead embellishment to the top;Button detail to the back with crop style sleeves;	images.asos-media.com/products/asos-curve-embellished-neck-dress/1026288-1-mink	images.asos-media.com/products/asos-curve-embellished-neck-dress/1026288-1-orange	images.asos-media.com/products/asos-curve-embellished-neck-dress/1026288-2	images.asos-media.com/products/asos-curve-embellished-neck-dress/1026288-3	ASOS CURVE Embellished Neck Dress	Dresses	Embellished	23b469431f1ef587a931d7811a6aa914
7601668	Women	"Lightly-textured stretch fabric;Leopard print;V-neck;Adjustable cami straps;Frill waist;Zip-back fastening;Regular fit - true to size;Machine wash;97% Polyester, 3% Elastane;Our model wears a UK 8/EU 36/US 4 and is 162cm/5'3.5\ tall;"""	images.asos-media.com/products/asos-mini-dress-in-leopard-print-with-frill-waist-detail/7601668-1-leopard	images.asos-media.com/products/asos-mini-dress-in-leopard-print-with-frill-waist-detail/7601668-2	images.asos-media.com/products/asos-mini-dress-in-leopard-print-with-frill-waist-detail/7601668-3	images.asos-media.com/products/asos-mini-dress-in-leopard-print-with-frill-waist-detail/7601668-4	ASOS Mini Dress in Leopard Print With Frill Waist Detail	Dresses	Animal	133353816a459ef91d87fdee335f3c36
7550376	Women	"Cotton-rich fabric;Contains stretch for comfort;Frill detail;All-over print;Close-cut bodycon fit;Machine wash;96% Cotton, 4% Elastane;Our model wears a UK 8/EU 36/US 4 and is 169cm/5'6.5\ tall;"""	images.asos-media.com/products/h-by-henry-holland-zebra-print-ruffle-dress/7550376-1-purple	images.asos-media.com/products/h-by-henry-holland-zebra-print-ruffle-dress/7550376-2	images.asos-media.com/products/h-by-henry-holland-zebra-print-ruffle-dress/7550376-3	images.asos-media.com/products/h-by-henry-holland-zebra-print-ruffle-dress/7550376-4	H! By Henry Holland Zebra Print Ruffle Dress	Dresses	Animal	676004bfc416bcb360702352b0f34c70
4519370	Women	"Lightweight, woven fabric;Boat neckline;Box pleated skirt;Floral print;Zip back fastening;Regular fit - true to size;Machine wash;100% Polyester;Our model wears a UK 8/EU 36/US 4 and is 173cm/5'8\ tall;"""	images.asos-media.com/products/asos-reclaimed-vintage-smudge-floral-midi-dress/4519370-1-multi	images.asos-media.com/products/asos-reclaimed-vintage-smudge-floral-midi-dress/4519370-2	images.asos-media.com/products/asos-reclaimed-vintage-smudge-floral-midi-dress/4519370-3	images.asos-media.com/products/asos-reclaimed-vintage-smudge-floral-midi-dress/4519370-4	ASOS Reclaimed Vintage Smudge Floral Midi Dress	Dresses	Floral	f9db7e1b620236c58ef0d8cb92f14abb
6436058	Women	"Woven fabric;Bandeau neckline;Off-shoulder design;Cropped overlay;All-over floral print;Zip-back closure;Regular fit - true to size;Machine wash;98% Cotton, 2% Elastane;Our model wears a UK 8/EU 36/US 4 and is 171cm/5'7.5\ tall;"""	images.asos-media.com/products/asos-off-the-shoulder-midi-prom-dress-in-bright-purple-floral/6436058-1-multi	images.asos-media.com/products/asos-off-the-shoulder-midi-prom-dress-in-bright-purple-floral/6436058-2	images.asos-media.com/products/asos-off-the-shoulder-midi-prom-dress-in-bright-purple-floral/6436058-3	images.asos-media.com/products/asos-off-the-shoulder-midi-prom-dress-in-bright-purple-floral/6436058-4	ASOS Off The Shoulder Midi Prom  Dress In Bright Purple Floral	Dresses	Floral	cbde47b8c6b84803516b3285bfcbd4f3
6198585	Women	"Soft-touch woven fabric;Round neckline;Painted stripe print;Cropped sleeves;Belted waistline;D-ring fastening;Regular fit - true to size;Machine wash;100% Viscose;Our model wears a UK 8/EU 36/US 4 and is 168 cm/5'6\ tall;"""	images.asos-media.com/products/warehouse-stripe-belted-shift-dress/6198585-1-multi	images.asos-media.com/products/warehouse-stripe-belted-shift-dress/6198585-2	images.asos-media.com/products/warehouse-stripe-belted-shift-dress/6198585-3	images.asos-media.com/products/warehouse-stripe-belted-shift-dress/6198585-4	Warehouse Stripe Belted Shift Dress	Dresses	Stripe	65d433ef9a549a290db7945c72468a83
7393490	Women	Printed jersey;Square neck;Thin cross-back cami straps;Close-cut bodycon fit;Machine wash;96% Polyester, 4% Elastane;Our model wears a UK 8/EU 36/US 4;Midi dress length between: 105-110cm;	images.asos-media.com/products/asos-petite-stripe-marble-print-midi-cami-dress/7393490-1-multi	images.asos-media.com/products/asos-petite-stripe-marble-print-midi-cami-dress/7393490-2	images.asos-media.com/products/asos-petite-stripe-marble-print-midi-cami-dress/7393490-3	images.asos-media.com/products/asos-petite-stripe-marble-print-midi-cami-dress/7393490-4	ASOS PETITE Stripe Marble Print Midi Cami Dress	Dresses	Graphic	be2f24e92a1d9bc6373dd6cebb562a0f
6790479	Women	"Embroidered mesh fabric;Partial lining;Boat neckline;Moulded cups;Side-zip closure;Fit and flare design;Regular fit - true to size;Hand wash;100% Polyamide;Our model wears a UK 8/EU 36/US 4 and is 170cm/5'7\ tall;"""	images.asos-media.com/products/chi-chi-london-premium-lace-midi-prom-dress-with-sleeve/6790479-1-duskypurple	images.asos-media.com/products/chi-chi-london-premium-lace-midi-prom-dress-with-sleeve/6790479-2	images.asos-media.com/products/chi-chi-london-premium-lace-midi-prom-dress-with-sleeve/6790479-3	images.asos-media.com/products/chi-chi-london-premium-lace-midi-prom-dress-with-sleeve/6790479-4	Chi Chi London Premium Lace Midi Prom Dress With Sleeve	Dresses	Floral	6a2ba9f08a85d4014b2a965b9e6b2d24
7053260	Women	"Woven cotton;Point collar;Button placket;Side pocket;Checked print;Relaxed fit;Machine wash;100% Cotton;Our model wears a UK 8/EU 36/US 4 and is 169cm/5'6.5\ tall;"""	images.asos-media.com/products/jack-wills-maggie-checked-shirt-dress/7053260-1-red	images.asos-media.com/products/jack-wills-maggie-checked-shirt-dress/7053260-2	images.asos-media.com/products/jack-wills-maggie-checked-shirt-dress/7053260-3	images.asos-media.com/products/jack-wills-maggie-checked-shirt-dress/7053260-4	Jack Wills Maggie Checked Shirt Dress	Dresses	Check	e20dfeed4c375e846a6a313faa45008c
7350500	Women	"Lightweight partially-lined chiffon;Crew neck;Embroidered detailing;Button-keyhole back;Regular fit - true to size;Machine wash;100% Polyester;Our model wears a UK S/EU S/US XS and is 175cm/5'9\ tall;"""	images.asos-media.com/products/stevie-may-currents-star-mini-dress/7350500-1-goldjacquard	images.asos-media.com/products/stevie-may-currents-star-mini-dress/7350500-2	images.asos-media.com/products/stevie-may-currents-star-mini-dress/7350500-3	images.asos-media.com/products/stevie-may-currents-star-mini-dress/7350500-4	Stevie May Currents Star Mini Dress	Dresses	Placement	45dccd83d1ce78119464f4269913e725
